conflict_type,n_pairs,AV_audio_capture,AV_visual_capture,AV_third_word,A_only_audio_capture
distinct,1500,0.0780,0.0947,0.8273,0.9273
identical,1500,0.0947,0.1220,0.7833,0.9280
