model,ckpt,precision,n,correct,val_acc,best_val_acc_ref,delta,val_sha
av,av_fused.pt,bf16,5244,5024,0.958047,0.958047,+0.000000,03c5a87acdcf07add81937906636be99cbbb04779c9fd497a2dce5a6c4565533
av,av_fused.pt,fp32,5244,5017,0.956712,0.958047,-0.001335,03c5a87acdcf07add81937906636be99cbbb04779c9fd497a2dce5a6c4565533
