epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
91,0.239632,0.928604,0.275269,0.917048,5.239139,142.464,11.249
92,0.224240,0.932367,0.215271,0.939550,5.265639,142.842,11.249
93,0.221233,0.935212,0.210200,0.936117,5.290904,142.632,11.249
94,0.227725,0.932091,0.243428,0.926392,5.307253,142.634,11.249
95,0.217234,0.935028,0.211475,0.939550,5.334657,142.298,11.249
96,0.219330,0.935946,0.237640,0.925057,5.355159,142.541,11.249
97,0.204927,0.938699,0.252270,0.922578,5.373594,142.669,11.249
98,0.199945,0.940442,0.344294,0.896644,5.395002,142.659,11.249
99,0.209122,0.936863,0.229932,0.925248,5.413558,142.561,11.249
100,0.198105,0.938882,0.214238,0.936499,5.434327,142.527,11.249
101,0.200292,0.941176,0.229406,0.930778,5.458217,142.493,11.249
102,0.206293,0.937047,0.304362,0.903699,5.479975,142.557,11.249
103,0.202452,0.938423,0.291759,0.911899,5.500084,142.670,11.249
104,0.181851,0.946774,0.206751,0.937071,5.515070,142.557,11.249
105,0.190533,0.941819,0.236547,0.926964,5.534994,142.593,11.249
106,0.181687,0.947508,0.213913,0.934592,5.553065,142.686,11.249
107,0.175967,0.947784,0.268565,0.916285,5.574647,142.515,11.249
108,0.171384,0.949711,0.244800,0.924485,5.590664,142.441,11.249
109,0.181109,0.947141,0.252864,0.922197,5.609941,142.558,11.249
110,0.167373,0.953473,0.192833,0.941266,5.625594,142.481,11.249
111,0.171921,0.951546,0.195676,0.937643,5.638711,142.601,11.249
112,0.164051,0.953198,0.204089,0.937071,5.652010,142.541,11.249
113,0.161572,0.952280,0.197402,0.938596,5.672372,142.495,11.249
114,0.161120,0.952464,0.341229,0.893402,5.684130,142.417,11.249
115,0.159704,0.953382,0.238335,0.925439,5.696296,142.498,11.249
116,0.150029,0.957052,0.221905,0.932304,5.707698,142.563,11.249
117,0.158307,0.952739,0.211153,0.932685,5.727027,142.650,11.249
118,0.157321,0.955401,0.222489,0.928490,5.738877,142.551,11.249
119,0.150856,0.955033,0.182352,0.944127,5.751978,142.550,11.249
120,0.145553,0.958337,0.177106,0.945652,5.759806,142.518,11.249
121,0.153396,0.955676,0.189913,0.943555,5.771282,142.506,11.249
122,0.147120,0.956961,0.171261,0.949085,5.782290,142.683,11.249
123,0.140662,0.960998,0.193428,0.940694,5.794713,142.394,11.249
124,0.133580,0.962650,0.187378,0.941838,5.804967,142.599,11.249
125,0.129564,0.962191,0.180849,0.945652,5.813774,142.630,11.249
126,0.130970,0.963935,0.184465,0.939169,5.823559,142.588,11.249
127,0.138210,0.963017,0.208116,0.933829,5.832108,142.560,11.249
128,0.126839,0.966046,0.166823,0.948894,5.838366,142.620,11.249
129,0.128290,0.963476,0.185655,0.943745,5.851646,142.476,11.249
130,0.128469,0.963935,0.169594,0.949085,5.857467,142.745,11.249
