epoch,train_loss,train_acc,val_loss,val_acc,val_acc_audio_head,val_acc_video_head,w_a_mean,epoch_time_s,peak_gpu_gib
70,1.589164,0.875929,0.308015,0.915141,0.722540,0.778795,0.401320,163.550,12.454
71,1.492608,0.885106,0.269461,0.925629,0.678108,0.792525,0.435056,166.243,12.454
72,1.490734,0.882995,0.320969,0.908658,0.647216,0.747140,0.405569,162.230,12.454
73,1.471638,0.887033,0.349398,0.903127,0.604882,0.768497,0.448986,165.483,12.454
74,1.432695,0.892447,92.817762,0.003432,0.003432,0.721587,0.999722,158.194,12.454
75,1.452813,0.887125,0.329364,0.908085,0.638444,0.778032,0.483144,166.615,12.454
76,1.431904,0.889970,0.294149,0.915713,0.655225,0.758963,0.427351,162.367,12.454
77,1.395843,0.895017,0.346497,0.905034,0.737414,0.714150,0.453400,163.998,12.454
78,1.387045,0.892631,0.322747,0.901220,0.662471,0.756484,0.444957,161.461,12.454
79,1.326610,0.901165,0.254794,0.928108,0.730931,0.791762,0.442343,163.351,12.454
80,1.356052,0.896210,0.286076,0.917048,0.682304,0.786041,0.403832,160.220,12.454
81,1.323366,0.896852,0.280101,0.919146,0.684783,0.776506,0.407342,163.504,12.454
82,1.268988,0.905203,0.269214,0.922960,0.766400,0.762204,0.429761,166.668,12.454
83,1.252198,0.908048,0.277212,0.919718,0.705378,0.780511,0.425025,157.683,12.454
84,1.272234,0.905662,0.248564,0.928299,0.772311,0.783562,0.432692,164.599,12.454
85,1.236817,0.909883,0.231138,0.931732,0.758200,0.807780,0.449692,164.669,12.454
86,1.232064,0.907956,0.358112,0.894355,0.780320,0.693364,0.427242,164.419,12.454
87,1.227877,0.906947,0.243263,0.928871,0.732456,0.803776,0.472705,161.529,12.454
88,1.200516,0.914655,0.228684,0.937071,0.789474,0.796911,0.433953,164.019,12.454
89,1.177252,0.914747,0.244551,0.930587,0.786041,0.787948,0.398810,164.205,12.454
90,1.178982,0.914197,0.221564,0.935164,0.773455,0.814264,0.416765,165.806,12.454
91,1.144848,0.921446,0.289623,0.918955,0.616323,0.790236,0.410450,160.377,12.454
92,1.146823,0.915206,0.221808,0.936499,0.801869,0.788902,0.436696,165.540,12.454
93,1.113547,0.921171,0.212933,0.941838,0.798818,0.812929,0.414720,162.182,12.454
94,1.102491,0.922089,0.201579,0.942029,0.816743,0.813692,0.441262,166.037,12.454
95,1.126401,0.919060,0.229118,0.933066,0.752098,0.814836,0.399891,165.489,12.454
96,1.083093,0.926494,0.240247,0.931350,0.684211,0.816934,0.446952,159.591,12.454
97,1.063352,0.925392,0.269047,0.922578,0.740847,0.792906,0.416337,162.600,12.454
98,1.064909,0.924658,0.249756,0.928108,0.745805,0.806636,0.472475,171.576,12.454
99,1.034418,0.929155,0.230357,0.933448,0.741228,0.813883,0.364930,167.033,12.454
100,1.024756,0.928971,0.260646,0.926201,0.782037,0.794813,0.543202,161.868,12.454
101,1.005197,0.931724,0.208145,0.940694,0.818078,0.821129,0.417755,194.260,12.454
102,1.009045,0.929797,0.207349,0.942792,0.805492,0.813120,0.401383,204.214,12.454
103,1.000504,0.931541,0.201057,0.942029,0.832571,0.807780,0.430021,173.128,12.454
104,0.991682,0.936129,0.194376,0.944127,0.794622,0.823799,0.447660,206.216,12.454
105,0.990518,0.930256,0.251927,0.926583,0.734744,0.780320,0.411182,180.189,12.454
106,0.957249,0.935028,0.215932,0.937643,0.791762,0.796339,0.452214,205.794,12.454
107,0.950491,0.935487,0.200169,0.942601,0.835431,0.813501,0.404328,180.083,12.454
108,0.956197,0.934844,0.193258,0.942982,0.812929,0.820366,0.427248,185.894,12.454
109,0.929050,0.938882,0.191895,0.945461,0.810450,0.826087,0.408596,190.459,12.454
110,0.912345,0.939525,0.196462,0.944889,0.847063,0.813883,0.422728,171.092,12.454
111,0.923100,0.940809,0.198001,0.941838,0.826659,0.813692,0.413993,180.227,12.454
112,0.924896,0.939983,0.191975,0.946224,0.819413,0.824752,0.412760,185.936,12.454
113,0.889683,0.944205,0.225578,0.933638,0.721587,0.825515,0.384599,187.079,12.454
114,0.899614,0.942186,0.210201,0.938978,0.746758,0.809497,0.423078,178.691,12.454
115,0.881857,0.945214,0.186989,0.943745,0.844203,0.820175,0.419334,190.342,12.454
116,0.864576,0.944939,0.220145,0.937262,0.778413,0.824752,0.377126,193.051,12.454
117,0.864544,0.946774,0.184519,0.946606,0.846491,0.832380,0.400053,163.342,12.454
118,0.857361,0.942461,0.186526,0.947750,0.847063,0.827613,0.414801,163.187,12.454
119,0.839044,0.946958,0.188903,0.945080,0.833143,0.832380,0.405631,160.468,12.454
120,0.829198,0.948885,0.184403,0.944699,0.827422,0.835812,0.390331,164.817,12.454
121,0.835757,0.946866,0.194684,0.942982,0.841533,0.825324,0.404267,160.641,12.454
122,0.822040,0.950904,0.170351,0.950038,0.851259,0.839245,0.393103,168.407,12.454
123,0.809582,0.947692,0.192375,0.943555,0.817696,0.833143,0.393717,160.176,12.454
124,0.801810,0.952648,0.180146,0.947178,0.822654,0.830092,0.434267,168.543,12.454
125,0.810944,0.948701,0.197637,0.945271,0.848017,0.821892,0.384604,170.245,12.454
126,0.809019,0.948518,0.182883,0.948703,0.845728,0.828947,0.412019,160.682,12.454
127,0.804400,0.951363,0.168043,0.953089,0.870709,0.844775,0.396559,154.293,12.454
128,0.787965,0.947876,0.183388,0.949085,0.851068,0.845728,0.381749,166.521,12.454
129,0.792431,0.950996,0.170118,0.950801,0.861747,0.843631,0.403415,163.314,12.454
130,0.783270,0.954666,0.184536,0.946987,0.859458,0.827422,0.395695,166.009,12.454
131,0.778367,0.952739,0.185475,0.948703,0.866133,0.828185,0.388944,162.756,12.454
132,0.764210,0.952280,0.178363,0.950801,0.860793,0.835050,0.396474,156.846,12.454
133,0.758891,0.955217,0.187891,0.944889,0.845919,0.839054,0.381671,162.668,12.454
134,0.776544,0.949252,0.172457,0.951564,0.845728,0.849924,0.392487,165.823,12.454
135,0.729124,0.956135,0.173991,0.949466,0.866133,0.841342,0.372498,170.325,12.454
136,0.759030,0.952831,0.178362,0.948894,0.868421,0.844012,0.366648,169.982,12.454
137,0.725619,0.958245,0.178048,0.947559,0.852403,0.847063,0.372398,156.631,12.454
138,0.726624,0.956777,0.175435,0.950038,0.867658,0.849733,0.379165,155.435,12.454
139,0.706379,0.959897,0.170049,0.950229,0.869184,0.845347,0.388126,164.351,12.454
140,0.718178,0.957695,0.168156,0.951373,0.866895,0.845919,0.386471,158.746,12.454
141,0.735905,0.954942,0.181724,0.947750,0.860221,0.845919,0.371442,167.924,12.454
142,0.723241,0.957236,0.177649,0.949275,0.851259,0.848207,0.383888,165.180,12.454
143,0.726099,0.955584,0.171449,0.950801,0.871663,0.852784,0.366662,169.356,12.454
144,0.715878,0.958429,0.176887,0.950992,0.870900,0.847826,0.373127,158.947,12.454
145,0.725295,0.956502,0.165932,0.953089,0.875477,0.851259,0.381634,164.166,12.454
146,0.716478,0.956502,0.191478,0.947368,0.861556,0.847063,0.360572,160.649,12.454
147,0.707833,0.958612,0.169993,0.950992,0.875858,0.851449,0.376030,164.441,12.454
148,0.689644,0.961457,0.165011,0.954424,0.874714,0.852593,0.386375,165.081,12.454
149,0.697639,0.961457,0.174615,0.949275,0.873188,0.852975,0.360345,159.100,12.454
150,0.684718,0.960723,0.176059,0.950610,0.877574,0.853547,0.366929,169.145,12.454
151,0.695831,0.958796,0.172764,0.950610,0.876621,0.856217,0.365519,177.299,12.454
152,0.689219,0.960998,0.169504,0.951754,0.873379,0.849161,0.379271,187.033,12.454
153,0.686205,0.958796,0.171433,0.949275,0.881388,0.853547,0.369412,182.227,12.454
154,0.684268,0.961182,0.174064,0.951564,0.881388,0.855645,0.366267,182.459,12.454
155,0.688574,0.957511,0.170389,0.953089,0.876812,0.851640,0.384472,193.879,12.454
156,0.675198,0.959255,0.171407,0.951182,0.882914,0.850877,0.366370,183.391,12.454
157,0.667624,0.965495,0.179908,0.949847,0.875477,0.855835,0.362350,175.588,12.454
158,0.669590,0.958980,0.156269,0.953852,0.878146,0.858314,0.386875,179.325,12.454
159,0.665702,0.964119,0.172728,0.951182,0.878146,0.854500,0.368368,175.388,12.454
160,0.653731,0.963843,0.166849,0.951945,0.881388,0.856026,0.372398,167.073,12.454
161,0.670801,0.958704,0.165206,0.951945,0.880244,0.857361,0.374870,162.194,12.454
162,0.672099,0.960356,0.168219,0.952899,0.881388,0.859077,0.375016,170.047,12.454
163,0.662131,0.962559,0.165035,0.952899,0.881198,0.857933,0.373553,161.821,12.454
164,0.660594,0.963384,0.169942,0.951945,0.882342,0.860031,0.364593,162.361,12.454
165,0.665651,0.962100,0.161394,0.954996,0.882914,0.858696,0.375382,161.643,12.454
166,0.660272,0.963384,0.170029,0.952517,0.883867,0.856407,0.365626,162.711,12.454
167,0.658644,0.961824,0.165381,0.953089,0.884821,0.855835,0.371443,161.263,12.454
168,0.666122,0.960081,0.166018,0.952899,0.882532,0.857742,0.368085,167.622,12.454
169,0.648714,0.963476,0.164036,0.953852,0.885393,0.856789,0.372924,161.727,12.454
170,0.645162,0.964119,0.169469,0.952136,0.881960,0.859840,0.366117,160.680,12.454
171,0.636935,0.967055,0.169352,0.952517,0.884821,0.856407,0.364000,163.646,12.454
172,0.654661,0.960448,0.169597,0.951945,0.883105,0.857170,0.362342,158.386,12.454
173,0.645791,0.963660,0.165343,0.953280,0.884821,0.860984,0.369852,166.901,12.454
174,0.645297,0.965770,0.165699,0.953089,0.884249,0.859649,0.367993,163.919,12.454
175,0.646053,0.963384,0.163777,0.953661,0.885584,0.858505,0.371186,160.574,12.454
176,0.650890,0.962742,0.169734,0.952708,0.881960,0.861365,0.363651,158.611,12.454
177,0.641382,0.963109,0.168138,0.952136,0.883677,0.858886,0.365194,162.059,12.454
178,0.648885,0.964944,0.168205,0.952899,0.884249,0.860031,0.366499,164.115,12.454
179,0.642074,0.966505,0.167415,0.952517,0.884249,0.860031,0.366946,166.217,12.454
180,0.636206,0.965679,0.167765,0.953089,0.879863,0.860031,0.367205,159.952,12.454
181,0.638966,0.964761,0.165028,0.954043,0.884249,0.860031,0.369250,166.799,12.454
182,0.642666,0.966046,0.165335,0.953852,0.885202,0.859840,0.367680,157.765,12.454
183,0.649387,0.963109,0.170340,0.952708,0.885774,0.860031,0.363197,165.762,12.454
184,0.630778,0.963935,0.165034,0.953852,0.884821,0.861556,0.369677,159.267,12.454
185,0.622706,0.964761,0.167081,0.953661,0.882342,0.859077,0.366759,161.622,12.454
