quantity,mine,report,delta
total_AV_minus_A,2.9748283752860427,2.9748,+0.000028
ensemble_attainable,2.3646071700991644,2.3646,+0.000007
learned_fusion_residual,0.6102212051868783,0.6102,+0.000021
n_rescued,261,261,+0.000000
n_regressed,105,105,+0.000000
net,156,156,+0.000000
frac_visual_gate_driven,0.9923371647509579,0.992337,+0.000000
frac_audio_path_survives,0.007662835249042099,0.007663,-0.000000
