epoch,train_loss,train_acc,val_loss,val_acc,val_acc_audio_head,val_acc_video_head,w_a_mean,wa_anoisy_mean,wa_anoisy_std,wa_clean_mean,wa_clean_std,wa_vnoisy_mean,wa_vnoisy_std,epoch_time_s,peak_gpu_gib
41,2.727727,0.746077,0.703197,0.810450,0.364989,0.679825,0.418921,0.408762,0.132135,0.418414,0.097785,0.435988,0.110714,167.974,12.454
42,2.660001,0.760668,0.876419,0.756102,0.421434,0.580092,0.369300,0.353301,0.094682,0.382595,0.097768,0.396204,0.112757,200.687,12.454
43,2.601572,0.766633,0.638472,0.829138,0.462433,0.661327,0.409069,0.364345,0.107941,0.421820,0.103797,0.411155,0.102015,218.713,12.454
44,2.552978,0.773332,0.625126,0.827231,0.496949,0.635965,0.433143,0.407653,0.092376,0.441458,0.097312,0.449134,0.097019,197.450,12.454
45,2.496684,0.773516,0.619250,0.830664,0.493898,0.657132,0.392914,0.370850,0.096565,0.395788,0.122961,0.443617,0.140844,170.419,12.454
46,2.423910,0.787740,0.663913,0.824561,0.483791,0.637300,0.443009,0.396717,0.100851,0.445764,0.133823,0.463445,0.142102,170.945,12.454
47,2.410213,0.787740,0.581213,0.844775,0.475782,0.681541,0.395561,0.369801,0.101703,0.393798,0.114377,0.404125,0.107446,162.594,12.454
48,2.375615,0.789575,0.558823,0.856598,0.528604,0.708810,0.366062,0.326817,0.094030,0.364264,0.099411,0.367324,0.098113,166.208,12.454
49,2.300346,0.794164,0.512947,0.856407,0.457666,0.710717,0.400711,0.424591,0.111795,0.428861,0.101302,0.446580,0.103681,170.877,12.454
50,2.258456,0.801780,0.478048,0.879291,0.576659,0.720252,0.457712,0.422917,0.102062,0.467972,0.127221,0.482349,0.128234,161.556,12.454
51,2.234475,0.802790,0.578935,0.845347,0.500763,0.663997,0.463624,0.436527,0.098984,0.465744,0.102507,0.477671,0.096557,186.772,12.454
52,2.176756,0.817106,0.551855,0.839436,0.409230,0.663425,0.401769,0.390898,0.087575,0.397306,0.095011,0.427302,0.107193,227.963,12.454
53,2.128813,0.820409,0.521905,0.854119,0.559115,0.659420,0.432671,0.374228,0.098370,0.433786,0.093267,0.458486,0.103180,216.121,12.454
54,2.087152,0.819033,0.499203,0.856598,0.552059,0.670099,0.485354,0.479290,0.089981,0.492497,0.085104,0.516213,0.088908,167.226,12.454
