epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
91,0.197814,0.943104,0.246998,0.921625,4.738552,142.711,11.249
92,0.213695,0.934753,0.256925,0.923913,4.763442,142.776,11.249
93,0.199882,0.938515,0.324015,0.903318,4.776560,142.737,11.249
94,0.182727,0.946224,0.295840,0.909420,4.792183,142.731,11.249
95,0.177743,0.949436,0.247227,0.921625,4.811924,142.692,11.249
96,0.170646,0.949160,0.243118,0.926583,4.825396,142.687,11.249
97,0.172639,0.950904,0.348163,0.893402,4.838887,142.755,11.249
98,0.172260,0.949436,0.222745,0.933829,4.853563,142.715,11.249
99,0.167167,0.951087,0.212608,0.936880,4.870327,142.677,11.249
100,0.162890,0.955768,0.240312,0.924676,4.885279,142.785,11.249
101,0.166243,0.950170,0.263568,0.920290,4.895217,142.749,11.249
102,0.159094,0.956226,0.396545,0.877384,4.912809,142.669,11.249
103,0.165886,0.951271,0.268865,0.918764,4.928868,142.711,11.249
104,0.160915,0.953382,0.234524,0.931541,4.941323,142.833,11.249
105,0.159979,0.955033,0.218910,0.932113,4.952607,142.788,11.249
106,0.150906,0.955951,0.447807,0.870137,4.967425,142.752,11.249
107,0.154945,0.955401,0.255422,0.920481,4.979820,142.747,11.249
108,0.147189,0.954758,0.270509,0.915332,4.993063,142.843,11.249
109,0.149744,0.956869,0.199102,0.941266,5.004695,142.852,11.249
110,0.145634,0.958429,0.266417,0.921434,5.014105,142.908,11.249
111,0.145843,0.957328,0.225790,0.932685,5.021633,142.827,11.249
112,0.139284,0.960356,0.224207,0.928108,5.033575,142.718,11.249
113,0.145362,0.957695,0.289470,0.911709,5.045244,142.739,11.249
114,0.132455,0.964210,0.242464,0.932876,5.053461,142.853,11.249
115,0.138088,0.959989,0.280637,0.921625,5.062956,142.774,11.249
116,0.133213,0.961274,0.222843,0.931541,5.074750,142.739,11.249
117,0.132467,0.961090,0.213623,0.937452,5.081411,142.750,11.249
118,0.128380,0.964486,0.196564,0.940885,5.088635,142.728,11.249
119,0.126272,0.964394,0.229722,0.932685,5.098969,142.766,11.249
120,0.125081,0.963201,0.220120,0.933829,5.106631,142.854,11.249
121,0.121555,0.966596,0.234276,0.930969,5.113027,142.675,11.249
122,0.117756,0.967147,0.187833,0.939169,5.123061,142.826,11.249
123,0.122490,0.967239,0.209286,0.935355,5.129268,142.834,11.249
124,0.117820,0.967973,0.188251,0.943555,5.134497,142.760,11.249
125,0.115450,0.966596,0.197957,0.942220,5.143239,142.724,11.249
126,0.112622,0.971093,0.179695,0.943936,5.148829,142.633,11.249
127,0.105416,0.972102,0.192938,0.939931,5.154833,142.703,11.249
128,0.108413,0.970359,0.203087,0.938215,5.161995,142.593,11.249
129,0.113798,0.967881,0.199429,0.939931,5.170241,142.744,11.249
130,0.110555,0.970726,0.212677,0.935927,5.173673,142.823,11.249
131,0.110920,0.969258,0.185136,0.946987,5.181294,142.886,11.249
132,0.112756,0.969900,0.176936,0.946606,5.187836,142.751,11.249
133,0.107775,0.969074,0.193754,0.944127,5.192033,142.894,11.249
134,0.107298,0.970726,0.192679,0.943936,5.196084,142.730,11.249
135,0.104240,0.971460,0.186261,0.945461,5.202402,142.875,11.249
136,0.100701,0.973754,0.194012,0.942410,5.208486,142.738,11.249
137,0.100516,0.971919,0.182434,0.946224,5.213212,142.974,11.249
138,0.096183,0.975865,0.187176,0.945271,5.217430,143.013,11.249
139,0.092424,0.975681,0.214374,0.938024,5.222589,142.819,11.249
140,0.090432,0.975957,0.190584,0.944317,5.224810,142.863,11.249
141,0.094334,0.972928,0.182801,0.943364,5.228176,142.824,11.249
142,0.093886,0.974947,0.175103,0.946224,5.231181,142.769,11.249
143,0.093666,0.974672,0.209547,0.937834,5.237408,142.818,11.249
144,0.101920,0.970726,0.194320,0.940503,5.238720,142.772,11.249
145,0.100500,0.973295,0.181174,0.944508,5.241704,142.613,11.249
146,0.086761,0.976783,0.172205,0.946796,5.245714,142.761,11.249
147,0.081095,0.979719,0.171996,0.949085,5.247770,142.933,11.249
148,0.085643,0.976048,0.184270,0.943745,5.251173,142.912,11.249
149,0.082406,0.978893,0.168998,0.946796,5.253436,142.727,11.249
150,0.078950,0.979994,0.212360,0.939931,5.254418,142.880,11.249
151,0.083082,0.977425,0.175654,0.947178,5.256938,142.753,11.249
152,0.080527,0.979260,0.186864,0.945271,5.259122,142.856,11.249
153,0.085265,0.977609,0.169189,0.950610,5.260483,142.765,11.249
154,0.079361,0.980545,0.170126,0.948322,5.261548,142.680,11.249
155,0.075831,0.981922,0.172959,0.949085,5.262537,142.717,11.249
156,0.077584,0.980453,0.168827,0.949275,5.264864,142.730,11.249
157,0.081165,0.979719,0.171335,0.949657,5.267780,142.631,11.249
158,0.079380,0.979994,0.175801,0.948131,5.269707,142.807,11.249
159,0.077768,0.979260,0.173421,0.949085,5.270693,142.967,11.249
160,0.074420,0.981646,0.170209,0.951564,5.271321,142.816,11.249
161,0.072028,0.983941,0.168665,0.950992,5.272080,142.789,11.249
162,0.073126,0.982289,0.177981,0.947368,5.274549,142.764,11.249
163,0.074964,0.981187,0.173176,0.949466,5.276161,142.716,11.249
164,0.072000,0.982564,0.168469,0.951754,5.276817,142.624,11.249
165,0.066683,0.984491,0.166598,0.950229,5.277742,142.648,11.249
166,0.072881,0.982105,0.169837,0.951182,5.278245,142.692,11.249
167,0.071099,0.982380,0.167175,0.949847,5.278672,142.713,11.249
168,0.071425,0.981646,0.166879,0.951373,5.279874,142.762,11.249
