sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,4.6115,1.8581,4.4575,4.3369,0.9839,0.9456,4.5299,1.3537,0.3898,0.9758
0.0050,4.4238,1.8581,4.2577,4.1196,0.9783,0.9376,4.3658,1.3537,0.4194,0.9758
0.0100,4.0120,1.8581,3.9997,3.6181,1.0150,0.9223,4.0380,1.3537,0.3401,0.9758
0.0150,3.6360,1.8581,3.8141,3.1669,1.0847,0.8935,3.7668,1.3537,0.2786,0.9758
0.0200,3.1888,1.8581,3.6721,2.9078,1.1716,0.9036,3.5297,1.3537,0.2564,0.9758
0.0250,2.7986,1.8581,3.5560,2.7240,1.2577,0.9326,3.3757,1.3537,0.2134,0.9758
0.0300,2.4713,1.8581,3.4580,2.5368,1.3735,0.9796,3.1971,1.3537,0.1645,0.9758
0.0350,2.2268,1.8581,3.3750,2.3875,1.4003,0.9681,3.0560,1.3537,0.1820,0.9758
0.0400,2.0618,1.8581,3.2981,2.2876,1.4197,0.9638,2.9710,1.3537,0.1963,0.9758
0.0500,2.0124,1.8581,3.1752,2.1576,1.3791,0.9580,2.8961,1.3537,0.2111,0.9758
0.0600,1.7611,1.8581,3.0422,2.0665,1.3869,0.9607,2.8287,1.3537,0.2162,0.9758
0.0800,1.4599,1.8581,2.7458,1.9708,1.3117,0.9685,2.7322,1.3537,0.2175,0.9758
0.1000,1.2363,1.8581,2.5060,1.9260,1.2227,0.9574,2.6429,1.3537,0.2230,0.9758
0.1300,1.1659,1.8581,2.2519,1.8810,1.1175,0.9717,2.5062,1.3537,0.2192,0.9758
0.1700,1.0317,1.8581,1.9442,1.8383,0.9904,0.9669,2.3556,1.3537,0.2533,0.9758
0.2200,0.9455,1.8581,1.6705,1.7992,0.8788,0.9655,2.1959,1.3537,0.2788,0.9758
