sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,2.7490,3.8872,3.9193,4.1135,1.0300,1.0666,2.5246,4.0080,0.3502,2.6736
0.0050,2.6896,3.8872,3.8378,4.1160,1.0174,1.0762,2.5351,4.0080,0.2865,2.6736
0.0200,1.8263,3.8872,3.5319,4.1181,0.9283,1.0826,2.5398,4.0080,0.2021,2.6736
0.0500,1.3221,3.8872,3.0336,4.1114,0.8362,1.0942,2.5419,4.0080,0.2467,2.6736
0.0800,0.9612,3.8872,2.6459,4.1050,0.7497,1.1005,2.5463,4.0080,0.2752,2.6736
