epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
91,0.135310,0.962375,0.328746,0.895690,1.258723,142.832,11.249
92,0.153035,0.956135,0.237770,0.923722,1.259313,142.927,11.249
93,0.144781,0.957695,0.224320,0.929062,1.260380,142.912,11.249
94,0.131481,0.963843,0.278891,0.915523,1.265006,142.883,11.249
95,0.127358,0.964210,0.227011,0.928299,1.265778,142.773,11.249
96,0.132511,0.961274,0.253664,0.927346,1.265547,142.805,11.249
97,0.127403,0.963843,0.230358,0.934401,1.268589,142.873,11.249
98,0.136270,0.959255,0.329352,0.901983,1.272003,142.919,11.249
99,0.132195,0.963017,0.221639,0.931922,1.269858,142.816,11.249
100,0.120301,0.967147,0.187665,0.942220,1.269472,142.914,11.249
101,0.120625,0.965770,0.373269,0.894355,1.272723,142.854,11.249
102,0.123190,0.966780,0.189066,0.936499,1.273142,142.837,11.249
103,0.120486,0.966505,0.221271,0.931732,1.274183,142.789,11.249
104,0.119577,0.965954,0.262650,0.920290,1.275336,142.856,11.249
105,0.115928,0.966596,0.220507,0.931922,1.279190,142.820,11.249
106,0.112213,0.968799,0.193546,0.938978,1.276519,142.763,11.249
107,0.108122,0.969166,0.363884,0.897216,1.277463,142.805,11.249
108,0.112378,0.969258,0.205079,0.939359,1.283121,142.809,11.249
109,0.104908,0.970818,0.263425,0.923341,1.285630,142.691,11.249
110,0.107609,0.969808,0.242439,0.923341,1.282936,142.923,11.249
111,0.109902,0.969258,0.213458,0.931159,1.287124,142.918,11.249
112,0.103821,0.970726,0.185872,0.942792,1.283559,142.722,11.249
113,0.096929,0.973662,0.211972,0.935545,1.285097,142.819,11.249
114,0.099841,0.973295,0.198461,0.943173,1.284574,142.969,11.249
115,0.098406,0.972194,0.202919,0.941648,1.285166,142.684,11.249
116,0.098535,0.971185,0.170981,0.948894,1.289426,142.757,11.249
117,0.092035,0.975498,0.207652,0.937643,1.288498,142.787,11.249
118,0.096016,0.973204,0.172445,0.945080,1.288816,142.793,11.249
119,0.091162,0.975590,0.240630,0.928490,1.291574,142.716,11.249
120,0.092927,0.974397,0.157291,0.951182,1.291912,142.750,11.249
121,0.086465,0.976507,0.177582,0.945271,1.293507,142.643,11.249
122,0.087553,0.976048,0.172071,0.947559,1.295162,142.919,11.249
123,0.085058,0.977058,0.163102,0.946224,1.295416,142.715,11.249
124,0.084915,0.975039,0.162457,0.950610,1.297196,142.859,11.249
125,0.082525,0.979627,0.190478,0.941648,1.296376,142.715,11.249
126,0.087905,0.975223,0.177866,0.944699,1.296308,142.808,11.249
127,0.078852,0.979994,0.173390,0.948513,1.297891,142.728,11.249
128,0.082807,0.977792,0.179311,0.945843,1.299785,142.711,11.249
129,0.082276,0.978251,0.166238,0.950038,1.300396,142.937,11.249
130,0.084271,0.977425,0.161485,0.950420,1.299765,142.633,11.249
131,0.077393,0.982472,0.152884,0.949466,1.299529,142.847,11.249
132,0.076040,0.979719,0.208596,0.937262,1.299209,142.644,11.249
133,0.079695,0.980545,0.160111,0.952899,1.301075,142.929,11.249
134,0.068787,0.982013,0.160611,0.950420,1.300127,142.868,11.249
135,0.069457,0.982656,0.179319,0.947941,1.302449,142.742,11.249
136,0.069616,0.982748,0.164463,0.949275,1.303872,142.654,11.249
137,0.064496,0.985225,0.155600,0.952899,1.304296,142.816,11.249
138,0.065979,0.984950,0.183998,0.943173,1.302602,142.893,11.249
139,0.065546,0.982380,0.164293,0.949657,1.304354,142.725,11.249
140,0.068274,0.983757,0.171182,0.947941,1.303902,142.752,11.249
141,0.064246,0.984308,0.149521,0.953661,1.305250,142.783,11.249
142,0.063667,0.984583,0.163072,0.948703,1.304579,142.851,11.249
143,0.062071,0.986327,0.160978,0.951754,1.306096,142.860,11.249
