tertile,n_channels,channel_ids,AV_acc_baseline,AV_acc_lesioned,delta_pp
high_impact,21,"1,6,10,11,12,13,15,21,22,28,29,33,37,39,40,41,44,46,54,60,63",0.958429,0.011060,+94.7368
mid_impact,21,"9,14,18,23,24,30,32,34,36,38,45,47,50,51,52,53,56,57,58,59,61",0.958429,0.833905,+12.4523
low_impact,22,"0,2,3,4,5,7,8,16,17,19,20,25,26,27,31,35,42,43,48,49,55,62",0.958429,0.953661,+0.4767
all_Wv_zero,64,all,0.958429,0.008391,+95.0038
