epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib
106,0.231330,0.932550,0.220003,0.934020,223.858,11.249
107,0.228328,0.933468,0.209353,0.934020,223.391,11.249
108,0.220351,0.936680,0.290523,0.914569,223.321,11.249
109,0.225682,0.934661,0.205214,0.936117,222.765,11.249
110,0.225037,0.934202,0.233420,0.926773,223.243,11.249
111,0.220650,0.935579,0.281707,0.912090,221.990,11.249
112,0.216561,0.936221,0.243429,0.921625,222.772,11.249
113,0.222519,0.936037,0.235082,0.929443,222.638,11.249
114,0.213076,0.937230,0.199324,0.941457,223.981,11.249
115,0.206673,0.940901,0.354703,0.897407,223.860,11.249
116,0.202737,0.940534,0.225574,0.932113,223.749,11.249
117,0.219159,0.937322,0.211616,0.932113,223.669,11.249
118,0.201485,0.943195,0.310039,0.907895,223.731,11.249
119,0.203824,0.941911,0.194634,0.943364,223.421,11.249
120,0.195387,0.944664,0.204671,0.937262,223.418,11.249
121,0.200015,0.942920,0.204702,0.938406,223.658,11.249
122,0.195342,0.942737,0.200577,0.940122,223.394,11.249
123,0.197991,0.943379,0.205394,0.936117,223.553,11.249
124,0.190174,0.946774,0.217568,0.932113,223.782,11.249
125,0.185991,0.947784,0.223488,0.931541,223.648,11.249
126,0.192851,0.946132,0.212572,0.936499,223.887,11.249
127,0.179153,0.948243,0.179663,0.946606,223.527,11.249
128,0.191782,0.943379,0.217344,0.933829,223.348,11.249
129,0.182934,0.946774,0.194439,0.939169,223.602,11.249
130,0.173452,0.952648,0.278293,0.915523,223.747,11.249
131,0.182424,0.947233,0.201301,0.938406,223.910,11.249
132,0.172616,0.950720,0.194477,0.941838,223.848,11.249
133,0.173962,0.951638,0.187872,0.942982,224.003,11.249
134,0.170100,0.948885,0.206080,0.938978,224.102,11.249
135,0.172607,0.952280,0.174368,0.942601,223.525,11.249
136,0.168089,0.953382,0.172215,0.944889,223.759,11.249
137,0.172558,0.952831,0.185234,0.942601,223.725,11.249
138,0.163977,0.952739,0.179169,0.944889,224.038,11.249
139,0.164487,0.954391,0.187331,0.942410,223.255,11.249
140,0.159459,0.954483,0.182417,0.941838,223.654,11.249
141,0.166063,0.952464,0.182277,0.942220,223.749,11.249
142,0.154033,0.958796,0.182931,0.945652,223.462,11.249
143,0.150951,0.958796,0.173431,0.943555,223.426,11.249
144,0.150207,0.959071,0.169503,0.948894,223.427,11.249
145,0.158232,0.955951,0.167982,0.947559,223.727,11.249
146,0.156130,0.957787,0.175382,0.947750,194.919,11.249
147,0.148722,0.959714,0.186838,0.943936,163.642,11.249
148,0.145057,0.960356,0.161589,0.948322,168.634,11.249
149,0.149924,0.960264,0.164676,0.950610,253.137,11.249
150,0.144326,0.962283,0.154781,0.951182,232.469,11.249
151,0.140052,0.963017,0.159221,0.950420,206.476,11.249
152,0.140434,0.962100,0.162637,0.952899,206.473,11.249
153,0.143033,0.962191,0.162329,0.948513,206.635,11.249
154,0.144091,0.961824,0.172606,0.946415,206.659,11.249
155,0.143245,0.962467,0.165467,0.949275,195.760,11.249
156,0.142776,0.961274,0.156074,0.951373,163.741,11.249
157,0.138943,0.962467,0.165283,0.947941,171.298,11.249
158,0.142770,0.962834,0.158129,0.950038,252.884,11.249
159,0.135500,0.962559,0.154887,0.951945,231.662,11.249
160,0.135542,0.964577,0.157690,0.950992,206.583,11.249
161,0.133139,0.965128,0.153743,0.951564,206.394,11.249
162,0.134268,0.965495,0.158130,0.951754,206.394,11.249
163,0.135726,0.963293,0.156117,0.952708,206.500,11.249
164,0.130606,0.963568,0.154042,0.952136,194.868,11.249
165,0.135397,0.962834,0.157395,0.952708,163.622,11.249
166,0.129753,0.965128,0.154378,0.949847,173.561,11.249
167,0.130253,0.964853,0.152388,0.954043,253.005,11.249
168,0.131414,0.965036,0.155844,0.951945,229.773,11.249
169,0.130558,0.965220,0.152638,0.951182,206.347,11.249
170,0.127664,0.964669,0.152405,0.954996,206.464,11.249
171,0.125947,0.967881,0.152494,0.953471,206.244,11.249
172,0.124960,0.966413,0.147961,0.954043,206.492,11.249
173,0.128790,0.965312,0.152301,0.950992,196.216,11.249
174,0.120510,0.968615,0.150349,0.952899,163.676,11.249
