epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib
92,0.447845,0.866752,0.346757,0.899314,14.790,0.288
93,0.442155,0.869964,0.551956,0.828375,15.269,0.288
94,0.434073,0.869505,0.303559,0.914188,14.697,0.288
95,0.426914,0.878315,0.335099,0.903318,14.358,0.288
96,0.420739,0.877673,0.293336,0.916476,14.721,0.288
97,0.407899,0.884831,0.347849,0.893402,14.667,0.288
98,0.414174,0.878407,0.356034,0.893593,14.958,0.288
99,0.402079,0.881527,0.677003,0.811594,14.719,0.288
100,0.389502,0.885932,0.347242,0.891495,14.617,0.288
101,0.388482,0.884555,0.316393,0.902746,14.519,0.288
102,0.390182,0.886941,0.400071,0.880244,15.245,0.288
103,0.403938,0.881160,0.472411,0.856789,14.710,0.288
104,0.378451,0.888960,0.347763,0.894546,15.080,0.288
105,0.382731,0.886666,0.309162,0.906560,14.515,0.288
106,0.375577,0.887584,0.312438,0.908467,15.304,0.288
107,0.368515,0.892723,0.284833,0.915523,14.832,0.288
108,0.364436,0.892264,0.316482,0.908848,15.166,0.288
109,0.350332,0.901074,0.541846,0.841915,14.864,0.288
110,0.358564,0.894283,0.299741,0.914378,15.238,0.288
111,0.347867,0.898412,0.316204,0.903509,15.255,0.288
112,0.348692,0.898045,0.274366,0.922006,14.888,0.288
113,0.337480,0.902634,0.338087,0.899886,14.796,0.288
114,0.345636,0.902175,0.316469,0.907323,14.477,0.288
115,0.342928,0.901991,0.260689,0.918764,14.686,0.288
116,0.329657,0.899972,0.333235,0.897979,14.865,0.288
117,0.334540,0.901991,0.521200,0.852784,14.843,0.288
118,0.333592,0.903551,0.280255,0.917239,15.176,0.288
119,0.326422,0.905020,0.273958,0.917620,14.260,0.288
120,0.317182,0.911168,0.328198,0.897025,14.990,0.288
121,0.319753,0.910159,0.270841,0.920099,14.969,0.288
122,0.307931,0.911260,0.425247,0.873570,14.775,0.288
123,0.318348,0.908507,0.275098,0.917620,14.740,0.288
124,0.320400,0.904286,0.275131,0.916667,14.305,0.288
125,0.296588,0.916307,0.271775,0.914950,14.376,0.288
126,0.298671,0.916491,0.368080,0.887872,15.199,0.288
127,0.297431,0.910526,0.309163,0.907704,15.116,0.288
128,0.289316,0.919519,0.255506,0.921625,14.392,0.288
129,0.302608,0.911444,0.276217,0.917811,15.427,0.288
130,0.293717,0.917684,0.245391,0.928108,14.584,0.288
131,0.291014,0.920253,0.242153,0.928680,15.132,0.288
132,0.282737,0.920253,0.271520,0.917429,15.068,0.288
133,0.293944,0.912178,0.243627,0.924104,14.873,0.288
134,0.278191,0.918234,0.240185,0.927155,14.885,0.288
135,0.277422,0.920070,0.261724,0.922006,15.013,0.288
136,0.274309,0.919794,0.238525,0.927155,14.704,0.288
137,0.276948,0.924383,0.228320,0.935355,14.310,0.288
138,0.263597,0.926494,0.248108,0.928299,14.800,0.288
139,0.270005,0.923740,0.254240,0.923722,14.786,0.288
140,0.272799,0.921446,0.238028,0.928871,14.642,0.288
141,0.266748,0.923190,0.257856,0.922006,14.704,0.288
142,0.266183,0.923373,0.266493,0.921053,15.529,0.288
