channel,mean_AV,mean_A_via_vzero,mean_V_via_azero,mean_ZZ,MEI,super_additivity
108,1.177826,0.143889,0.655815,0.622069,0.795972,1.000191
109,1.297216,4.215013,0.607187,3.618980,-0.692239,0.093996
110,1.674076,1.379451,0.851626,0.004718,0.213581,-0.552283
111,1.365762,0.153171,0.655286,0.000000,1.084220,0.557304
112,1.317307,0.472349,0.584421,0.000000,1.254035,0.260536
113,1.849172,2.251371,1.030860,2.912874,-0.178646,1.479815
114,1.488041,4.076899,0.480635,0.000000,-0.635007,-3.069493
115,1.057047,0.137942,0.175500,0.000000,5.023018,0.743605
116,1.479090,12.556951,0.662630,11.003630,-0.882209,-0.736861
117,1.087891,0.314601,0.325603,0.000000,2.341154,0.447688
118,1.535805,0.231360,1.056445,0.000000,0.453747,0.248000
119,1.069431,0.211067,0.608451,0.007730,0.757629,0.257644
120,1.594815,3.306032,1.226451,10.760652,-0.517604,7.822984
121,1.439919,1.659086,1.026131,0.110316,-0.132101,-1.134982
122,1.513811,2.018007,1.208895,4.050216,-0.249848,2.337125
123,1.318078,1.590948,0.842325,2.502201,-0.171514,1.387006
124,1.476752,0.789318,0.979471,0.055480,0.507704,-0.236556
125,1.318830,2.919880,0.733515,9.313564,-0.548327,6.979000
126,1.356453,2.996979,0.277203,0.000000,-0.547393,-1.917729
127,1.467700,3.608410,0.554610,1.222012,-0.593256,-1.473308
