model,feed,obtained_acc,checkpoint_recorded,delta_pp,note
A_only,val_audio,0.926964,0.927000,-0.0036,architectural: A-only model has no V input
V_only_fair,val_video,0.864989,0.865600,-0.0611,architectural: V-only model has no A input
