t_start_frame,t_end_frame,AV_acc,delta_pp_from_baseline
0,10,0.765446,-19.1266
5,15,0.539664,-41.7048
10,20,0.346491,-61.0221
15,25,0.232265,-72.4447
20,30,0.213768,-74.2944
25,35,0.281655,-67.5057
30,40,0.451564,-50.5149
35,45,0.663425,-29.3288
40,50,0.859649,-9.7063
