epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib,w_hh_drift,w_hh_rel_drift,alpha
70,0.197397,0.937230,0.452738,0.872998,245.194,12.494,15.283028,1.924223,3.398522
71,0.195653,0.937873,0.313537,0.907132,245.329,12.494,15.337590,1.931093,3.418730
72,0.189171,0.939800,0.459134,0.859077,245.378,12.494,15.389340,1.937608,3.442038
73,0.198907,0.939249,0.385798,0.886346,245.485,12.494,15.439312,1.943900,3.466809
74,0.176892,0.944021,0.507977,0.857933,245.275,12.494,15.492949,1.950653,3.481800
75,0.192576,0.937965,0.596435,0.837529,256.310,12.494,15.539546,1.956520,3.504058
76,0.176861,0.945581,0.375037,0.889207,250.816,12.494,15.597287,1.963790,3.522444
77,0.160663,0.949527,0.486608,0.866514,245.261,12.494,15.636962,1.968785,3.539503
78,0.161758,0.951179,0.305154,0.913234,245.229,12.494,15.671083,1.973082,3.549326
79,0.167048,0.947233,0.324092,0.907895,245.233,12.494,15.710464,1.978040,3.566395
80,0.160352,0.948977,0.298585,0.913043,245.213,12.494,15.763143,1.984672,3.580424
81,0.152164,0.952464,0.351031,0.899123,245.715,12.494,15.811131,1.990714,3.598818
82,0.156576,0.950537,0.696652,0.823799,245.255,12.494,15.852160,1.995880,3.613621
83,0.151336,0.952923,0.400535,0.880244,245.214,12.494,15.897635,2.001606,3.629792
84,0.144268,0.953841,0.402579,0.882151,245.287,12.494,15.937029,2.006566,3.639350
85,0.142109,0.955951,0.275049,0.912281,245.343,12.494,15.957307,2.009119,3.661196
86,0.138030,0.957236,0.448825,0.880625,245.365,12.494,15.994197,2.013763,3.670932
87,0.133454,0.958521,0.285098,0.915523,245.395,12.494,16.041727,2.019748,3.686187
88,0.133847,0.957052,0.507417,0.861747,245.341,12.494,16.061703,2.022263,3.699143
89,0.123123,0.962008,0.369318,0.895118,245.310,12.494,16.106482,2.027901,3.712137
90,0.130147,0.957603,0.249743,0.924104,245.463,12.494,16.152838,2.033737,3.728268
91,0.133043,0.956869,0.276214,0.922769,245.420,12.494,16.187635,2.038118,3.736399
92,0.121322,0.963293,0.239809,0.931159,249.524,12.494,16.221895,2.042432,3.751289
93,0.115686,0.964761,0.456350,0.875095,245.363,12.494,16.250237,2.046000,3.759284
94,0.133747,0.958337,0.242975,0.926583,245.358,12.494,16.277794,2.049470,3.778330
95,0.116197,0.962926,0.266463,0.920481,245.502,12.494,16.298115,2.052028,3.790543
96,0.109130,0.966413,0.234491,0.932304,245.516,12.494,16.332766,2.056391,3.802472
97,0.107193,0.968156,0.223058,0.930397,245.172,12.494,16.351128,2.058703,3.812321
98,0.107248,0.968248,0.245935,0.928490,245.645,12.494,16.380760,2.062434,3.822810
99,0.107454,0.964853,0.261624,0.925057,245.358,12.494,16.404959,2.065481,3.837225
100,0.095217,0.970818,0.349152,0.901983,245.321,12.494,16.427660,2.068339,3.841267
101,0.099913,0.971735,0.217421,0.933638,245.381,12.494,16.452890,2.071516,3.852953
102,0.111510,0.965403,0.265656,0.927536,245.366,12.494,16.481535,2.075122,3.862457
103,0.102628,0.968707,0.231199,0.929252,245.399,12.494,16.506098,2.078215,3.872376
104,0.103686,0.968615,0.411851,0.883867,245.444,12.494,16.526567,2.080792,3.885902
105,0.094765,0.971460,0.243520,0.930206,245.316,12.494,16.555090,2.084383,3.896714
106,0.086014,0.974030,0.276963,0.917239,245.454,12.494,16.574890,2.086876,3.903994
107,0.091086,0.971735,0.277136,0.920290,245.494,12.494,16.595816,2.089511,3.912818
108,0.085413,0.974397,0.250907,0.931922,245.137,12.494,16.612597,2.091624,3.923086
109,0.092835,0.972837,0.348636,0.906751,281.381,12.494,16.637758,2.094792,3.926777
110,0.086439,0.974672,0.282083,0.917239,259.069,12.494,16.651823,2.096562,3.934753
111,0.073115,0.977700,0.265267,0.927346,245.154,12.494,16.680428,2.100164,3.942594
112,0.083511,0.974672,0.277304,0.919908,245.454,12.494,16.700949,2.102748,3.946032
113,0.082282,0.974764,0.276884,0.919908,245.197,12.494,16.717896,2.104881,3.952804
114,0.078581,0.977700,0.254257,0.926773,245.244,12.494,16.738255,2.107445,3.961474
115,0.075218,0.977517,0.293729,0.918764,245.549,12.494,16.749475,2.108857,3.964894
116,0.076062,0.976966,0.267971,0.925057,245.533,12.494,16.764751,2.110781,3.973941
117,0.082669,0.974672,0.334210,0.908467,245.401,12.494,16.776400,2.112247,3.984360
118,0.071266,0.979077,0.396087,0.897407,245.398,12.494,16.789747,2.113928,3.990084
119,0.068184,0.981187,0.233867,0.931159,245.448,12.494,16.803154,2.115616,3.996154
120,0.068590,0.981096,0.249288,0.930587,245.549,12.494,16.819645,2.117692,4.001227
121,0.067557,0.979994,0.295981,0.919146,245.645,12.494,16.828342,2.118787,4.007036
122,0.066163,0.982472,0.245712,0.932494,245.392,12.494,16.834469,2.119559,4.009700
123,0.064336,0.981738,0.277846,0.926964,245.473,12.494,16.854013,2.122019,4.010457
124,0.066123,0.981738,0.222865,0.938406,245.490,12.494,16.860758,2.122869,4.016461
125,0.065769,0.981371,0.247181,0.934020,245.586,12.494,16.873497,2.124472,4.019604
126,0.058274,0.984766,0.223518,0.938024,280.227,12.494,16.889473,2.126484,4.023590
127,0.054956,0.985684,0.253339,0.928299,258.089,12.494,16.902706,2.128150,4.029174
128,0.060777,0.982380,0.242643,0.938787,245.223,12.494,16.916180,2.129846,4.035849
129,0.063166,0.981096,0.298030,0.922578,245.457,12.494,16.920326,2.130369,4.037901
130,0.061555,0.982197,0.249560,0.932685,245.521,12.494,16.942801,2.133198,4.045473
131,0.050706,0.987152,0.208883,0.939741,245.276,12.494,16.948214,2.133880,4.051543
132,0.056168,0.984583,0.281784,0.927727,246.119,12.494,16.959761,2.135334,4.054208
133,0.049060,0.986785,0.212224,0.941457,245.355,12.494,16.965124,2.136009,4.055643
134,0.054997,0.984308,0.261797,0.931922,245.328,12.494,16.969824,2.136601,4.061882
135,0.051219,0.985317,0.218116,0.937834,245.325,12.494,16.978714,2.137720,4.062966
136,0.050475,0.985684,0.245367,0.935927,245.625,12.494,16.984560,2.138456,4.066466
137,0.049581,0.987061,0.239541,0.933829,245.610,12.494,16.992554,2.139462,4.070065
138,0.049982,0.987336,0.243329,0.934020,245.641,12.494,17.000187,2.140423,4.071770
139,0.048115,0.987428,0.213811,0.944127,245.630,12.494,17.006132,2.141172,4.074722
140,0.047474,0.986969,0.214171,0.943173,245.431,12.494,17.008745,2.141501,4.078067
141,0.047169,0.988437,0.227493,0.938406,245.472,12.494,17.012836,2.142016,4.079632
142,0.041824,0.988529,0.226428,0.937834,245.505,12.494,17.014240,2.142193,4.082823
143,0.043958,0.988529,0.230295,0.938978,285.573,12.494,17.019674,2.142877,4.088691
144,0.048263,0.986051,0.207865,0.944508,259.561,12.494,17.029852,2.144158,4.088531
145,0.046108,0.987244,0.222678,0.940885,245.327,12.494,17.028492,2.143987,4.088710
146,0.039029,0.991374,0.205325,0.943555,245.167,12.494,17.032701,2.144517,4.092614
147,0.040189,0.989263,0.215365,0.940503,245.226,12.494,17.035109,2.144820,4.092705
148,0.039939,0.989447,0.222462,0.943745,245.346,12.494,17.044445,2.145996,4.093530
149,0.040998,0.988988,0.207406,0.944889,245.333,12.494,17.052635,2.147027,4.095863
150,0.039619,0.990548,0.229338,0.938024,245.592,12.494,17.057089,2.147588,4.097827
151,0.037767,0.990640,0.226809,0.942220,245.227,12.494,17.062401,2.148257,4.100464
152,0.040111,0.988804,0.229171,0.939359,245.664,12.494,17.070412,2.149265,4.101459
153,0.037335,0.991374,0.212561,0.944889,245.389,12.494,17.069723,2.149178,4.103289
154,0.036703,0.990364,0.219968,0.944508,245.421,12.494,17.071947,2.149458,4.103863
155,0.034665,0.991741,0.210829,0.945461,245.499,12.494,17.073786,2.149690,4.105894
156,0.035516,0.991466,0.230586,0.940122,245.347,12.494,17.078548,2.150290,4.107152
157,0.032756,0.993026,0.223613,0.945080,245.280,12.494,17.078997,2.150346,4.107922
158,0.035070,0.991374,0.218235,0.942982,245.351,12.494,17.081146,2.150617,4.108545
159,0.034164,0.992567,0.214971,0.943173,245.300,12.494,17.082542,2.150792,4.111382
160,0.029568,0.994310,0.217405,0.946415,284.316,12.494,17.083624,2.150929,4.112258
161,0.031450,0.991833,0.213352,0.944127,263.737,12.494,17.084833,2.151081,4.113492
162,0.030973,0.993209,0.208992,0.945461,245.249,12.494,17.085838,2.151207,4.112751
163,0.032268,0.992383,0.225431,0.945080,245.283,12.494,17.089025,2.151609,4.113333
164,0.033096,0.991833,0.208575,0.947750,245.465,12.494,17.091724,2.151949,4.114879
165,0.030627,0.993393,0.216828,0.947750,245.337,12.494,17.092493,2.152045,4.115224
166,0.031463,0.992750,0.214573,0.946415,245.414,12.494,17.094833,2.152340,4.115934
167,0.029014,0.993301,0.220423,0.944699,245.537,12.494,17.095861,2.152469,4.116919
168,0.029214,0.993852,0.216643,0.943745,245.723,12.494,17.098150,2.152758,4.117843
169,0.029746,0.992567,0.224514,0.944889,245.604,12.494,17.098257,2.152771,4.117405
170,0.025663,0.994494,0.216552,0.946224,245.281,12.494,17.097881,2.152724,4.118150
171,0.028371,0.994310,0.210910,0.946606,245.263,12.494,17.097696,2.152700,4.117381
172,0.027442,0.994494,0.217485,0.946034,245.217,12.494,17.099066,2.152873,4.119033
173,0.028011,0.993484,0.219370,0.943936,245.416,12.494,17.098835,2.152844,4.120172
174,0.027396,0.994127,0.217138,0.945843,245.226,12.494,17.101309,2.153155,4.120759
175,0.028819,0.992934,0.214184,0.946606,245.386,12.494,17.101461,2.153175,4.121017
176,0.025038,0.994861,0.210226,0.945271,245.279,12.494,17.103168,2.153389,4.120806
177,0.025421,0.995136,0.215627,0.946224,288.521,12.494,17.104502,2.153557,4.121601
178,0.027298,0.993668,0.213366,0.947368,258.589,12.494,17.104982,2.153618,4.121563
179,0.026942,0.993943,0.213038,0.947178,245.419,12.494,17.105373,2.153667,4.121854
180,0.024481,0.994586,0.210777,0.946796,245.212,12.494,17.105909,2.153735,4.122398
181,0.025694,0.994219,0.213994,0.947178,245.513,12.494,17.106413,2.153798,4.122890
182,0.025022,0.994769,0.209012,0.948131,245.393,12.494,17.107391,2.153921,4.122886
183,0.024529,0.994769,0.210308,0.948131,245.643,12.494,17.107443,2.153928,4.122738
184,0.029061,0.993026,0.209613,0.946987,245.283,12.494,17.107969,2.153994,4.122656
185,0.024855,0.995320,0.213905,0.946796,245.348,12.494,17.108273,2.154032,4.123193
186,0.026281,0.993576,0.209730,0.947368,245.433,12.494,17.109060,2.154131,4.123317
187,0.026333,0.994310,0.210743,0.946987,245.235,12.494,17.109188,2.154147,4.123395
188,0.025198,0.994219,0.210789,0.946224,245.298,12.494,17.109375,2.154171,4.123439
189,0.022793,0.995870,0.209997,0.948131,245.210,12.494,17.109846,2.154230,4.123600
190,0.026475,0.993117,0.209836,0.947750,245.301,12.494,17.109964,2.154245,4.123838
191,0.023256,0.995228,0.209822,0.946796,245.261,12.494,17.109802,2.154225,4.123670
192,0.023222,0.995136,0.207607,0.946796,245.464,12.494,17.109844,2.154230,4.123715
193,0.027682,0.993026,0.211807,0.946415,244.979,12.494,17.109924,2.154240,4.123682
194,0.025042,0.994402,0.208847,0.946796,275.958,12.494,17.109776,2.154221,4.123715
195,0.024389,0.994494,0.213562,0.947750,256.168,12.494,17.109695,2.154211,4.123728
196,0.026834,0.993393,0.210763,0.947178,245.138,12.494,17.109880,2.154235,4.123780
197,0.023792,0.994402,0.213113,0.946796,245.439,12.494,17.110043,2.154255,4.123815
198,0.022409,0.995779,0.211616,0.947178,245.337,12.494,17.110092,2.154261,4.123833
199,0.025529,0.994310,0.209658,0.946606,245.337,12.494,17.110167,2.154271,4.123866
200,0.023426,0.994861,0.210590,0.947941,245.356,12.494,17.110212,2.154276,4.123899
