sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,2.7490,3.8872,3.9193,3.3573,1.0300,0.8969,2.7403,3.1111,0.3502,2.6736
0.0020,2.7611,3.8872,3.9125,3.4031,1.0294,0.9056,2.7542,3.1111,0.3345,2.6736
0.0040,2.7283,3.8872,3.8709,3.4529,1.0268,0.9138,2.7286,3.1111,0.3020,2.6736
0.0050,2.6896,3.8872,3.8378,3.4402,1.0174,0.9060,2.6854,3.1111,0.2865,2.6736
0.0060,2.6393,3.8872,3.8042,3.4199,1.0076,0.8984,2.6432,3.1111,0.2710,2.6736
0.0070,2.5784,3.8872,3.7727,3.4051,0.9980,0.8922,2.5997,3.1111,0.2570,2.6736
0.0080,2.5049,3.8872,3.7441,3.3926,0.9891,0.8862,2.5639,3.1111,0.2448,2.6736
0.0090,2.4333,3.8872,3.7164,3.3810,0.9809,0.8802,2.5261,3.1111,0.2363,2.6736
0.0100,2.3624,3.8872,3.6907,3.3739,0.9732,0.8766,2.4895,3.1111,0.2277,2.6736
0.0120,2.2570,3.8872,3.6451,3.3503,0.9589,0.8684,2.4298,3.1111,0.2116,2.6736
0.0150,2.0945,3.8872,3.5876,3.3039,0.9418,0.8575,2.3702,3.1111,0.2060,2.6736
0.0200,1.8263,3.8872,3.5319,3.2786,0.9283,0.8562,2.3323,3.1111,0.2021,2.6736
0.0300,1.4201,3.8872,3.4045,3.2625,0.8914,0.8535,2.2137,3.1111,0.1923,2.6736
0.0500,1.3221,3.8872,3.0336,3.2362,0.8362,0.8656,2.0537,3.1111,0.2467,2.6736
0.0800,0.9612,3.8872,2.6459,3.2195,0.7497,0.8490,1.9494,3.1111,0.2752,2.6736
