variant,flavour,channel,AV_acc_baseline,AV_acc_lesioned,delta_pp
D3_2_late,late,46,0.953661,0.952708,+0.0953
D3_2_late,late,47,0.953661,0.952326,+0.1335
D3_2_late,late,48,0.953661,0.952899,+0.0763
D3_2_late,late,49,0.953661,0.953089,+0.0572
D3_2_late,late,50,0.953661,0.952517,+0.1144
D3_2_late,late,51,0.953661,0.953089,+0.0572
D3_2_late,late,52,0.953661,0.953280,+0.0381
D3_2_late,late,53,0.953661,0.952708,+0.0953
D3_2_late,late,54,0.953661,0.952517,+0.1144
D3_2_late,late,55,0.953661,0.953089,+0.0572
D3_2_late,late,56,0.953661,0.954043,-0.0381
D3_2_late,late,57,0.953661,0.952899,+0.0763
D3_2_late,late,58,0.953661,0.952899,+0.0763
D3_2_late,late,59,0.953661,0.953661,+0.0000
D3_2_late,late,60,0.953661,0.953089,+0.0572
D3_2_late,late,61,0.953661,0.952899,+0.0763
D3_2_late,late,62,0.953661,0.953089,+0.0572
D3_2_late,late,63,0.953661,0.953852,-0.0191
D3_10_add,mid_add,0,0.957666,0.946606,+1.1060
D3_10_add,mid_add,1,0.957666,0.955187,+0.2479
D3_10_add,mid_add,2,0.957666,0.951564,+0.6102
D3_10_add,mid_add,3,0.957666,0.954615,+0.3051
D3_10_add,mid_add,4,0.957666,0.928871,+2.8795
D3_10_add,mid_add,5,0.957666,0.907513,+5.0153
D3_10_add,mid_add,6,0.957666,0.955568,+0.2098
D3_10_add,mid_add,7,0.957666,0.955187,+0.2479
D3_10_add,mid_add,8,0.957666,0.950992,+0.6674
D3_10_add,mid_add,9,0.957666,0.951373,+0.6293
D3_10_add,mid_add,10,0.957666,0.955378,+0.2288
D3_10_add,mid_add,11,0.957666,0.955187,+0.2479
D3_10_add,mid_add,12,0.957666,0.954424,+0.3242
D3_10_add,mid_add,13,0.957666,0.957666,+0.0000
D3_10_add,mid_add,14,0.957666,0.916857,+4.0809
D3_10_add,mid_add,15,0.957666,0.948513,+0.9153
