alpha,AV_acc,delta_from_baseline_pp,is_trained_alpha
0.000000,0.006674,-95.1754,0
0.500000,0.040236,-91.8192,0
1.000000,0.154844,-80.3585,0
2.000000,0.634249,-32.4180,0
3.000000,0.881007,-7.7422,0
4.000000,0.941838,-1.6590,0
5.000000,0.953280,-0.5149,0
6.000000,0.958619,+0.0191,0
6.027671,0.958429,+0.0000,1
7.000000,0.954043,-0.4386,0
10.000000,0.929634,-2.8795,0
