epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib,alpha
91,0.191509,0.943287,0.316202,0.907513,242.827,12.493,4.729981
92,0.195496,0.939433,0.354454,0.891495,319.865,12.493,4.745794
93,0.187108,0.943838,0.227284,0.930397,257.239,12.493,4.760382
94,0.190731,0.943562,0.229994,0.932876,243.324,12.493,4.779385
95,0.175853,0.950629,0.500622,0.864416,242.940,12.493,4.794638
96,0.184192,0.946315,0.265333,0.922578,242.967,12.493,4.812316
97,0.173433,0.948885,0.234958,0.926964,243.075,12.493,4.827025
98,0.172621,0.950629,0.393898,0.885011,242.826,12.493,4.842062
99,0.168938,0.949344,0.246743,0.918955,243.385,12.493,4.856321
100,0.172574,0.949252,0.277619,0.906560,242.698,12.493,4.873274
101,0.165684,0.953015,0.274400,0.913043,242.698,12.493,4.881186
102,0.166048,0.951913,0.251461,0.919908,242.940,12.493,4.894518
103,0.166628,0.950262,0.222410,0.931922,242.741,12.493,4.908379
104,0.153649,0.956318,0.187231,0.941648,242.786,12.493,4.920606
105,0.159427,0.953565,0.220126,0.932304,242.649,12.493,4.934886
106,0.149454,0.955309,0.329547,0.909802,242.830,12.493,4.949948
107,0.152667,0.954208,0.419582,0.869947,242.702,12.493,4.957563
108,0.145580,0.957603,0.204348,0.936880,242.828,12.493,4.966679
109,0.147358,0.957603,0.216675,0.933257,320.173,12.493,4.980161
110,0.141519,0.962834,0.298453,0.908467,255.972,12.493,4.990416
111,0.140469,0.959989,0.197118,0.942220,243.232,12.493,4.999317
112,0.152740,0.955401,0.238367,0.923532,242.900,12.493,5.010269
113,0.140456,0.959438,0.170019,0.946796,242.809,12.493,5.021856
114,0.129852,0.963293,0.213871,0.934783,242.972,12.493,5.032150
115,0.132386,0.961641,0.212768,0.933257,243.430,12.493,5.040134
116,0.127525,0.963293,0.205559,0.937834,243.531,12.493,5.046993
117,0.137197,0.959622,0.206159,0.936499,242.911,12.493,5.057947
118,0.120013,0.967239,0.179047,0.944508,242.847,12.493,5.067141
119,0.129467,0.964210,0.215898,0.933829,242.928,12.493,5.076804
120,0.121699,0.965128,0.184515,0.945461,242.583,12.493,5.082699
121,0.120476,0.965220,0.183377,0.940694,242.824,12.493,5.092981
122,0.117328,0.966872,0.180179,0.944699,242.557,12.493,5.097635
123,0.117331,0.966596,0.203201,0.937452,242.673,12.493,5.101395
124,0.124182,0.963660,0.204913,0.937834,242.673,12.493,5.110313
125,0.114263,0.966688,0.184735,0.943364,242.583,12.493,5.117084
126,0.110460,0.969349,0.173116,0.948131,326.917,12.493,5.123075
127,0.113107,0.970726,0.213677,0.936308,259.054,12.493,5.128208
128,0.114726,0.968982,0.167459,0.952517,243.128,12.493,5.133082
129,0.112192,0.967698,0.194024,0.943745,243.194,12.493,5.139765
130,0.110906,0.969533,0.174851,0.947750,243.081,12.493,5.149671
131,0.106363,0.969349,0.169300,0.949466,242.967,12.493,5.154551
132,0.101735,0.972561,0.188036,0.942410,242.977,12.493,5.160858
133,0.103046,0.969533,0.170347,0.949466,243.219,12.493,5.166710
134,0.104916,0.971552,0.153440,0.953471,243.560,12.493,5.169802
135,0.104805,0.971185,0.161377,0.953089,242.632,12.493,5.175125
136,0.096934,0.973020,0.188750,0.941266,242.812,12.493,5.178758
137,0.097834,0.973846,0.171808,0.948322,242.655,12.493,5.185205
138,0.096024,0.974121,0.168141,0.948322,242.920,12.493,5.190095
139,0.094159,0.974397,0.158511,0.951373,242.855,12.493,5.191391
140,0.096467,0.974672,0.157608,0.950038,243.011,12.493,5.196104
141,0.094433,0.973387,0.152582,0.955378,242.832,12.493,5.201122
142,0.088630,0.976874,0.170481,0.946987,242.944,12.493,5.204781
143,0.094170,0.974580,0.156831,0.950038,320.436,12.493,5.207139
144,0.091355,0.976599,0.157189,0.953661,262.584,12.493,5.210881
145,0.091256,0.974580,0.168292,0.948703,243.089,12.493,5.213636
146,0.083559,0.978159,0.154506,0.953852,243.104,12.493,5.216419
147,0.085427,0.977333,0.164282,0.947178,242.901,12.493,5.218841
148,0.088000,0.977150,0.149343,0.957094,242.975,12.493,5.223568
149,0.082215,0.977884,0.151625,0.954043,243.083,12.493,5.224300
150,0.083792,0.978526,0.167938,0.949085,243.370,12.493,5.227997
151,0.081354,0.979260,0.159923,0.953471,242.441,12.493,5.229273
152,0.084453,0.977609,0.146841,0.955950,242.589,12.493,5.231483
